#NAME,PTLG002_1,PTLG003_1,PTLG004_1,PTLG005_1,PTLG007_1,PTLG008_1,PTLG009_1,PTLG010_1,PTLG012_1,PTLG015_1,PTLG016_1,PTLG018_1,PTLG019_1,PTLG020_1,PTLG022_1,PTLG024_1,PTLG029_1,PTLG002_2,PTLG003_2,PTLG004_2,PTLG005_2,PTLG007_2,PTLG008_2,PTLG009_2,PTLG010_2,PTLG012_2,PTLG015_2,PTLG016_2,PTLG018_2,PTLG019_2,PTLG020_2,PTLG022_2,PTLG024_2,PTLG029_2,PTLG002_3,PTLG003_3,PTLG004_3,PTLG005_3,PTLG007_3,PTLG008_3,PTLG009_3,PTLG010_3,PTLG012_3,PTLG015_3,PTLG016_3,PTLG018_3,PTLG019_3,PTLG020_3,PTLG022_3,PTLG024_3,PTLG029_3,PTLG002_4,PTLG003_4,PTLG004_4,PTLG005_4,PTLG007_4,PTLG008_4,PTLG009_4,PTLG010_4,PTLG012_4,PTLG015_4,PTLG016_4,PTLG018_4,PTLG019_4,PTLG020_4,PTLG022_4,PTLG024_4,PTLG029_4
Diazolidinyl urea,0.040779177,0.049765784,0.052126261,0.045140523,0.046052569,0.136375042,0.052159649,0.066713507,0.043712668,0.048166721,0.089060014,0.034569498,0.05117939,0.039701204,0.041248306,0.042049357,0.054097662,0.048371219,0.053312526,0.03739057,0.051963932,0.059044025,0.038095605,0.055208902,0.05189491,0.046284041,0.064520929,0.091832992,0.030652059,0.059107062,0.04850476,0.036081454,0.046430031,0.054706384,0.054119277,0.054881803,0.045885303,0.046705112,0.052285142,0.032763152,0.043253072,0.040658885,0.053878909,0.045750807,0.067749654,0.035550997,0.030719298,0.040760605,0.05368778,0.035919135,0.027226138,0.031661529,0.028121467,0.039791381,0.031823704,0.020665367,0.027747315,0.017869903,0.028506451,0.034086078,0.02911178,0.023238444,0.03944511,0.024749254,0.051923068,0.02832939,0.02922,0.01787097
Thiodiacetic acid,0.043978642,0.054483373,0.055568443,0.04866057,0.051343717,0.13385169,0.039271071,0.054177088,0.034158494,0.035161096,0.073967018,0.027943381,0.039052932,0.03329729,0.036990254,0.032107158,0.049553375,0.051857832,0.058342623,0.020400805,0.055381375,0.045842447,0.025775432,0.042137514,0.04306898,0.037544789,0.053430733,0.09331288,0.022631285,0.049320795,0.039652777,0.030018281,0.042883486,0.047489652,0.040897486,0.041530593,0.032841815,0.034710649,0.041169973,0.020220964,0.037593873,0.035185676,0.04214871,0.046685045,0.066168078,0.033456956,0.02851178,0.038323737,0.046127352,0.032531771,0.024069505,0.03104706,0.028567195,0.033785364,0.028933257,0.018963195,0.027644957,0.018265452,0.028923613,0.032808852,0.027655579,0.023655343,0.035768923,0.026050954,0.052365131,0.028716318,0.029245317,0.018396203
Cortolone-3-glucuronide,0.045603509666667,0.060218090666667,0.0644277725,0.052274640833333,0.056638654833333,0.132112351833333,0.035671048166667,0.046923054333333,0.022743445,0.027066398833333,0.068728969666667,0.0301891345,0.029223341666667,0.025552384333333,0.023525842,0.0234804655,0.041548354666667,0.050499496166667,0.0632190735,0.0099360995,0.056252662666667,0.032493644,0.013825313333333,0.030934626833333,0.024729303833333,0.037732589,0.046917326,0.09258103,0.018462709666667,0.040493476166667,0.025176615333333,0.020503134333333,0.0367197495,0.0385295465,0.0265370745,0.033673720833333,0.0222050795,0.016366326333333,0.018123445666667,0.004266095833333,0.029628318333333,0.017075973,0.029548108666667,0.046249574333333,0.063783228166667,0.022206879166667,0.020165728333333,0.031562833333333,0.0441229315,0.026086369333333,0.022233483333333,0.030222165833333,0.037133213833333,0.0413509995,0.025527801833333,0.014451140166667,0.027821669,0.030368671833333,0.027143742333333,0.033659818666667,0.034864021,0.0305264245,0.045600788333333,0.029033974833333,0.052598340166667,0.033401419166667,0.0346980015,0.020462255166667
8-Demethylthymonin,0.042104597,0.050857121,0.052282343,0.045327137,0.045879728,0.132509246,0.03143245,0.048423405,0.026286704,0.039387464,0.072182281,0.025469746,0.030353462,0.034093048,0.038588578,0.035426096,0.049561951,0.048671054,0.053996699,0.014735251,0.052096484,0.03744409,0.017714483,0.033843421,0.038194562,0.034407425,0.055141405,0.093123238,0.017953139,0.044429825,0.038124219,0.028395748,0.049369659,0.046255873,0.037460729,0.035191005,0.023342057,0.024135934,0.03148087,0.008121733,0.036249309,0.0314834,0.036714116,0.043806058,0.077758856,0.027164505,0.020805432,0.043445912,0.052267055,0.039459201,0.027891074,0.041075635,0.033622286,0.045876483,0.032591801,0.02273448,0.02660709,0.028451687,0.035783788,0.035403093,0.039522763,0.043971093,0.042564611,0.026767587,0.057503139,0.041886309,0.036809302,0.026566688
Pantothenic acid,0.05244632675,0.0599228755,0.05557130775,0.0588096955,0.048522188,0.13208618475,0.029183365,0.04799091,0.02362295125,0.021153515,0.0695785565,0.015445123,0.029965906,0.030041334,0.02108712775,0.01824290575,0.04023338275,0.0574637995,0.063116903,0.008381313,0.06625477425,0.0276871645,0.01284742325,0.0247464315,0.03051361325,0.031496106,0.04520454975,0.09206486375,0.00958789025,0.04450422475,0.031295183,0.01610952275,0.033450267,0.03774007525,0.0300393215,0.03355621075,0.01420266725,0.02567261325,0.016028732,0.00571657125,0.02537745075,0.02417779675,0.02935117375,0.0462671815,0.06221576575,0.01667025125,0.0190068755,0.03924937225,0.037747348,0.01752710925,0.01559544925,0.026609819,0.02485822725,0.02604884225,0.02552669825,0.0056387825,0.018981862,0.011932958,0.0219263905,0.02493289775,0.01683605175,0.01655198275,0.02946627425,0.01716624425,0.0498676545,0.01819184575,0.020848714,0.0076156205
"3,5-Dichloro-4-4-Hydroxy-3-IsopropylphenoxyPhenylacetic Acid",0.042845056,0.05022455,0.05415222,0.045916462,0.046886237,0.132146605,0.027710533,0.044673218,0.020886074,0.023465212,0.067599296,0.017204243,0.027829065,0.023774184,0.02450632,0.022193113,0.042522654,0.048255431,0.053366834,0.01119212,0.054359027,0.030906636,0.013606373,0.02713432,0.025957925,0.028625902,0.046715388,0.0926764,0.011891033,0.041497775,0.028101094,0.0194517,0.036594774,0.039865207,0.028475067,0.028868685,0.018093306,0.020188834,0.020323898,0.005142112,0.028934337,0.019638688,0.028189983,0.056869636,0.06319451,0.017012945,0.01914712,0.032212298,0.040174245,0.02080099,0.01828067,0.025378564,0.016129258,0.028007839,0.02389617,0.007426889,0.021382717,0.015829723,0.02201631,0.025751682,0.020585937,0.018959698,0.032399185,0.016830276,0.047325071,0.021499719,0.023111183,0.011383618
1-Arachidonoylglycerophosphoinositol,0.0806522455,0.112247246,0.085949626,0.125239464,0.0915324585,0.136197796,0.0762316115,0.0631842815,0.0545336565,0.05418366,0.1047916575,0.0509446245,0.0769461775,0.048580231,0.0864283405,0.1166813925,0.062600901,0.1029488775,0.0832034825,0.0355377665,0.0940996435,0.079694388,0.0441681905,0.054357095,0.0505189475,0.060669012,0.0737221595,0.0983540205,0.044225928,0.0825764955,0.0481713225,0.048592291,0.0817574865,0.065805719,0.060381027,0.0575749525,0.052378215,0.0385300635,0.048570626,0.035689432,0.0540651315,0.0369942835,0.0451832075,0.0658349645,0.0813032885,0.035701561,0.070641886,0.04572702,0.0704778815,0.041756844,0.0429761345,0.075048174,0.0621805335,0.062941113,0.0629391295,0.0898536375,0.060005199,0.0791866935,0.0529671915,0.070808349,0.071252578,0.080021068,0.0995665415,0.1002974605,0.0837495035,0.074786353,0.096666823,0.0813354235
1-Oleoylglycerophosphoinositol,0.0486347965,0.0671722365,0.062288575,0.063385315,0.0504588165,0.132649102,0.029784159,0.0444669715,0.0247575145,0.021951076,0.072201467,0.0128973945,0.0318436055,0.0236280625,0.031555868,0.033780662,0.043476274,0.0631471305,0.060729522,0.0126454595,0.0635304755,0.031708101,0.0131164945,0.0267059665,0.0255091085,0.0314029605,0.0469906045,0.090635283,0.0077145495,0.046431594,0.0269446445,0.018427349,0.0394555335,0.04408892,0.0327178085,0.0309097715,0.02227628,0.018767542,0.021085271,0.013292452,0.0316777785,0.016116127,0.024204481,0.0482960755,0.0658017315,0.012302892,0.028541954,0.0325050785,0.0413659725,0.018177705,0.0205519825,0.03421392,0.015334312,0.031181632,0.024583288,0.012235294,0.024186895,0.017284828,0.01996267,0.0276436105,0.0262253415,0.021577813,0.0357395925,0.0285634315,0.0554292595,0.020278028,0.0304986815,0.014661337
"N-3a,5b,7b-7-hydroxy-24-oxo-3-sulfooxycholan-24-yl-Glycine",0.194569421,0.153041026,0.087545229,0.096992325,0.491867386,0.142944544,0.052371395,0.098616004,0.137027688,0.033781527,0.145407873,0.106716879,0.093911685,0.063682971,0.063585672,0.108486973,0.097301456,0.344874369,0.142216698,0.0263558,0.135203774,0.807491645,0.186531025,0.065135094,0.130905707,0.0612502,0.063896407,0.145452885,0.157977345,0.161222677,0.054308555,0.038386911,0.145710666,0.077795646,0.172838188,0.150389285,0.048751449,0.092596151,0.789244449,0.123877451,0.088778372,0.182001002,0.089440559,0.086842531,0.085073369,0.126294387,0.150001358,0.043940486,0.083971758,0.057373387,0.078772737,0.205411586,0.064496497,0.055121921,0.118311636,0.592153586,0.06522251,0.035775095,0.095307645,0.051156123,0.103521389,0.078204382,0.128996023,0.160762255,0.087605275,0.055643111,0.04135702,0.098858801
"3-4-Carbamoyl-1-Carboxy-2-Methylsulfonyl-Buta-1,3-Dienylamino-Indolizine-2-Carboxylic Acid",0.044619396,0.054893491,0.057045261,0.048451557,0.048287326,0.132315823,0.028117067,0.044711772,0.021058719,0.022703402,0.067932355,0.016523256,0.02791098,0.022251329,0.023232311,0.021830217,0.042005514,0.053355718,0.058450711,0.00974258,0.05711171,0.031133827,0.015038127,0.027269951,0.026061312,0.028683789,0.046864651,0.089626855,0.012316315,0.042953878,0.02610863,0.019031221,0.034959222,0.040739788,0.028814735,0.028213583,0.017498193,0.018530831,0.019952523,0.004545144,0.027782182,0.017992765,0.02703448,0.04512766,0.062974291,0.016684013,0.017555199,0.030407733,0.038650617,0.01949249,0.016689533,0.02432003,0.013235712,0.026782196,0.022245627,0.006442377,0.019208123,0.011948359,0.019466522,0.023660765,0.018569442,0.016695839,0.03081191,0.014727733,0.046166802,0.019207204,0.021335817,0.009787185
